id,lat,lon,diam,depth
01-000002,69.244,-27.24,79.63,0.09
01-000008,75.539,13.829,58.4,0.11
01-000010,77.707,-27.314,52.37,0.07
01-000015,84.687,1.589,48.84,1.06
01-000023,84.452,-18.503,43.03,0.49
01-000025,70.051,-7.939,39.51,2.08
01-000033,69.74,9.215,33.23,0.1
01-000035,68.373,6.224,32.26,0.1
01-000041,76.092,3.067,28.35,0.12
01-000050,70.301,18.4,26.76,0.11
01-000066,74.627,-13.104,22.37,0.71
01-000080,71.529,29.984,20.51,0.07
01-000085,78.595,-28.276,20.02,0.78
01-000086,71.92,-15.179,19.89,1.26
01-000093,65.636,-21.242,19.07,0.79
01-000094,73.623,25.142,18.75,0.06
01-000106,77.639,13.773,17.64,0.03
01-000109,73.009,27.285,17.49,0.56
01-000110,73.601,2.379,17.41,0.95
01-000117,79.251,-9.101,16.89,0.42
01-000120,77.081,-20.924,16.44,0.05
01-000121,75.053,-19.762,16.21,0.4
01-000124,70.278,-28.342,15.86,0.34
01-000126,73.544,-11.71,15.78,0.52
01-000135,68.526,12.926,14.89,0.69
01-000146,76.847,26.552,14.02,0.53
01-000148,68.947,26.765,13.98,0.37
01-000163,72.516,-19.372,12.95,0.31
01-000165,78.61,-12.992,12.79,0.25
01-000170,66.915,-16.283,12.61,0.38
01-000172,73.012,21.935,12.55,0.3
01-000175,70.077,13.86,12.39,0.32
01-000176,76.336,-27.272,12.36,0.3
01-000178,74.896,15.017,12.31,0.41
01-000189,74.742,13.42,11.77,0.49
01-000192,71.955,-25.213,11.58,0.26
01-000195,77.455,7.639,11.35,0.79
01-000200,77.895,29.841,11.08,0.06
01-000205,79.158,-8.083,10.88,0.09
01-000218,71.01,-27.874,10.44,0.16
01-000220,70.33,-18.633,10.35,0.22
01-000221,71.13,-10.162,10.31,0.23
01-000226,72.995,-23.342,10.11,0.03
01-000229,67.193,26.981,10.06,0.15
01-000251,68.691,10.799,9.3,0.15
01-000254,66.427,9.419,9.21,0.16
01-000271,66.329,20.471,8.82,0.0
01-000277,67.53,-26.049,8.66,0.16
01-000288,65.166,-20.876,8.43,0.19
01-000297,65.311,-1.216,8.18,0.32
01-000302,68.511,-25.748,8.08,0.06
01-000307,67.178,10.74,8.04,0.12
01-000309,69.491,23.144,8.01,0.16
01-000313,71.052,-10.21,7.97,0.25
01-000323,77.26,6.817,7.85,0.16
01-000325,78.159,9.1,7.82,0.11
01-000331,75.226,-14.426,7.69,0.15
01-000355,66.904,15.217,7.27,0.12
01-000359,67.473,2.978,7.25,0.12
01-000362,74.254,0.112,7.17,0.13
01-000364,65.718,-3.193,7.12,0.0
01-000367,71.774,0.771,7.1,0.08
01-000376,74.853,-16.684,7.01,0.02
01-000378,70.29,-9.801,7.01,0.1
01-000383,71.591,-17.222,6.91,0.06
01-000384,67.546,26.568,6.91,0.12
01-000386,70.961,-25.646,6.9,0.06
01-000390,72.439,3.766,6.86,0.09
01-000400,74.302,-20.691,6.7,0.07
01-000404,69.873,10.052,6.65,0.06
01-000405,72.958,9.052,6.64,0.09
01-000407,68.746,-1.11,6.63,0.28
01-000410,68.376,-28.863,6.61,0.07
01-000411,66.608,25.217,6.6,0.1
01-000415,75.469,-3.936,6.58,0.04
01-000434,66.968,-21.334,6.33,0.11
01-000443,65.089,23.365,6.2,0.16
01-000444,67.507,25.385,6.17,0.05
01-000448,70.471,27.379,6.15,0.05
01-000458,68.13,-25.371,5.93,0.03
01-000459,69.653,14.792,5.93,0.07
01-000467,65.581,3.031,5.89,0.81
01-000476,68.777,11.311,5.78,0.0
01-000482,74.732,5.914,5.72,0.03
01-000484,65.991,9.544,5.71,0.04
01-000494,65.455,5.369,5.6,0.05
01-000501,65.76,26.36,5.55,0.12
01-000503,72.072,-5.202,5.53,0.38
01-000516,69.325,-21.727,5.44,0.11
01-000520,65.321,27.317,5.42,0.08
01-000523,67.481,11.023,5.42,0.11
01-000527,74.084,-12.583,5.35,0.03
01-000536,69.211,-3.606,5.31,0.34
01-000538,65.214,25.0,5.25,0.08
01-000541,72.277,-3.407,5.23,0.04
01-000550,78.243,-16.266,5.18,0.04
01-000553,76.32,-29.498,5.17,0.03
01-000559,74.477,13.234,5.13,0.03
01-000563,71.298,10.371,5.1,0.04
01-000568,70.447,-18.819,5.06,0.08
01-000569,75.033,-13.403,5.05,0.0
01-000575,75.475,-4.485,5.01,0.03
01-000588,70.977,16.847,4.91,0.0
01-000592,71.41,-26.55,4.89,0.14
01-000593,66.107,24.847,4.88,0.04
01-000604,69.926,-29.69,4.82,0.05
01-000605,66.032,3.72,4.79,0.02
01-000607,70.32,-22.6,4.79,0.08
01-000612,65.602,0.214,4.76,0.03
01-000613,67.713,24.723,4.76,0.03
01-000614,65.474,1.012,4.75,0.04
01-000620,78.043,1.636,4.7,0.05
