,id,lat,lon,diam,depth
11819,20-000013,-24.325,26.602,131.52,0.84
11827,20-000021,-23.321,28.064,98.09,2.45
11838,20-000032,-27.847,26.034,85.07,1.71
11840,20-000034,-22.982,26.017,83.78,1.75
11843,20-000037,-27.577,22.919,80.13,1.64
11856,20-000050,-27.159,24.331,73.32,0.32
11901,20-000095,-26.151,24.872,56.45,1.6
12006,20-000200,-27.061,27.352,40.68,1.83
12072,20-000266,-24.331,24.666,34.45,0.58
12084,20-000278,-24.387,23.499,33.7,0.11
12092,20-000286,-26.528,26.261,33.47,0.51
12113,20-000307,-25.84,22.937,32.28,0.14
12181,20-000375,-23.508,27.028,28.99,1.46
12203,20-000397,-23.702,23.798,28.04,0.14
12248,20-000442,-23.759,24.4,26.48,0.07
12257,20-000451,-24.6,26.144,26.35,1.94
12264,20-000458,-27.915,26.832,26.09,0.98
12351,20-000545,-27.326,24.592,23.41,1.52
12493,20-000687,-26.281,23.75,19.65,0.11
12534,20-000728,-26.904,25.988,18.87,0.41
12546,20-000740,-25.459,23.959,18.6,0.14
12575,20-000769,-22.726,24.345,18.19,0.43
12588,20-000782,-24.528,26.844,17.99,1.58
12612,20-000806,-25.758,27.811,17.27,0.38
12664,20-000858,-23.912,25.412,16.3,0.66
12679,20-000873,-26.809,28.004,16.09,0.29
12694,20-000888,-26.039,27.355,15.89,1.19
12728,20-000922,-25.447,23.081,15.35,0.35
12795,20-000989,-23.448,23.598,14.63,0.48
12903,20-001097,-25.523,27.323,13.22,0.37
12937,20-001131,-23.555,25.581,12.85,0.49
12940,20-001134,-22.594,25.18,12.79,1.07
13007,20-001201,-26.18,25.72,12.04,0.13
13071,20-001265,-26.037,26.553,11.48,0.22
13149,20-001343,-26.445,25.943,10.74,0.45
13252,20-001446,-24.268,24.295,9.94,0.38
13262,20-001456,-23.612,22.652,9.84,0.11
13303,20-001497,-26.415,22.602,9.56,0.09
13442,20-001636,-24.572,23.998,8.67,0.83
13520,20-001714,-23.191,24.881,8.18,0.0
13544,20-001738,-27.608,27.375,8.06,0.78
