CRATER_ID,CRATER_NAME,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIMFLOOR_TOPOG,MORPHOLOGY_EJECTA_1,MORPHOLOGY_EJECTA_2,MORPHOLOGY_EJECTA_3,NUMBER_LAYERS
01-000000, ,84.367,108.746,82.1,.22, , , ,0
01-000001,Korolev,72.76,164.464,82.02,1.97,Rd/MLERS,HuBL, ,3
01-000002, ,69.244,-27.24,79.63,.09, , , ,0
01-000003, ,70.107,160.575,74.81,.13, , , ,0
01-000004, ,77.996,95.617,73.53,.11, , , ,0
01-000005, ,68.547,137.849,72.66,.19, , , ,0
01-000006, ,69.492,169.751,70.11,.1, , , ,0
01-000007, ,78.716,-87.249,63.57,.05, , , ,0
01-000008, ,75.539,13.829,58.4,.11,Rd, , ,0
01-000009, ,69.371,75.147,55.24,0, , , ,0
01-000010, ,77.707,-27.314,52.37,.07, , , ,0
01-000011, ,70.319,139.936,51.31,.13, , , ,0
01-000012,Dokka,77.17,-145.681,51.08,1.74,Rd, , ,0
01-000013, ,72.26,119.169,49.78,.16, , , ,0
01-000014, ,65.603,-156.777,49.43,.14, , , ,0
01-000015, ,84.687,1.589,48.84,1.06, , , ,0
01-000016, ,65.646,152.318,48.44,.09, , , ,0
01-000017, ,65.817,109.151,47.2,.04, , , ,0
01-000018, ,65.687,64.161,46.03,.16, , , ,0
01-000019, ,72.956,69.923,45.85,.03, , , ,0
01-000020, ,65.135,177.982,45.71,1.86,Rd/DLEPC/DLERS,HuBL, ,2
01-000021, ,77.314,-177.834,43.75,.08, , , ,0
01-000022,Udzha,81.925,76.714,43.57,.03, , , ,0
01-000023, ,84.452,-18.503,43.03,.49, , , ,0
01-000024, ,72.729,-152.918,40.9,.05, , , ,0
01-000025, ,70.051,-7.939,39.51,2.08,SLERS,HuSL, ,1
01-000026, ,70.884,-166.427,36.85,1.98,MLERS,HuBL,Inner is Small-Crown,4
01-000027, ,66.33,39.798,36.41,1.9,MLERS,HuBL, ,3
01-000028,Louth,70.173,103.226,36.28,1.41,SLERS,HuBL, ,1
01-000029, ,69.554,123.055,35.82,.04, , , ,0
01-000030, ,65.589,138.987,35.66,.11, , , ,0
01-000031, ,70.503,-134.794,34.61,.14, , , ,0
01-000032, ,72.7,140.636,33.69,.1, , , ,0
01-000033, ,69.74,9.215,33.23,.1, , , ,0
01-000034, ,76.891,71.88,32.95,.07, , , ,0
01-000035, ,68.373,6.224,32.26,.1, , , ,0
01-000036, ,74.052,-157.066,32.14,.04, , , ,0
01-000037, ,77.116,89.13,30.88,.71,SLERS,HuSL, ,1
01-000038, ,73.774,-169.57,30.16,.18,Rd, , ,0
01-000039, ,66.394,144.036,29.46,1.77,Rd/DLERS,HuBL, ,2
01-000040, ,73.909,-173.606,28.45,1.41,MLERS,HuBL, ,3
01-000041, ,76.092,3.067,28.35,.12, , , ,0
01-000042, ,75.865,-154.989,28.1,.1, , , ,0
01-000043, ,69.442,115.884,27.62,.13, , , ,0
01-000044, ,72.019,50.227,27.51,.11, , , ,0
01-000045, ,68.007,-109.111,27.46,.06, , , ,0
01-000046, ,69.796,121.125,27.36,.11, , , ,0
01-000047, ,67.909,92.848,27.23,1.85,Rd/DLERC/DLERS,HuBL, ,2
01-000048, ,65.439,128.334,27.21,.88,MLERS,HuSL/HuBL/HuBL, ,3
01-000049, ,76.363,-142.427,26.82,.12, , , ,0
01-000050, ,70.301,18.4,26.76,.11, , , ,0
01-000051, ,70.317,-93.561,26.6,1.32,MLERS,HuBL, ,3
01-000052, ,70.657,40.809,26.54,.09, , , ,0
01-000053, ,69.169,74.201,26.24,.1, , , ,0
01-000054, ,70.005,93.802,25.71,.11, , , ,0
01-000055, ,75.178,62.125,25.04,.07, , , ,0
01-000056, ,69.341,38.09,24.24,.08, , , ,0
01-000057, ,65.665,130.544,24.04,.06, , , ,0
01-000058, ,65.99,-42.244,23.85,.05, , , ,0
01-000059, ,71.215,50.606,23.59,.08, , , ,0
01-000060, ,67.254,-110.605,23.5,1.2,DLEPS/DLERS,HuSL/HuSp, ,2
01-000061, ,72.01,116.38,23.49,.03, , , ,0
01-000062, ,79.129,60.88,23.47,1.11, , , ,0
01-000063, ,73.809,122.372,23.32,.06, , , ,0
01-000064, ,66.356,163.447,22.69,.99,DLEPC/DLERS,HuSL, ,2
01-000065, ,66.466,72.49,22.58,.08, , , ,0
01-000066, ,74.627,-13.104,22.37,.71,SLERC,HuSL, ,1
01-000067, ,84.969,-122.242,22.2,1.05, , , ,0
01-000068,Escorial,76.887,-54.969,22.11,.92,SLEPd,HuBL, ,1
01-000069, ,67.454,-45.887,21.92,.07, , , ,0
01-000070, ,65.498,-76.305,21.71,1.35,DLERC/DLEPS,HuSL/HuBL, ,2
01-000071, ,72.522,38.962,21.63,.08, , , ,0
01-000072, ,76.196,72.191,21.54,.05, , , ,0
01-000073, ,78.322,-64.797,21.12,.08, , , ,0
01-000074, ,75.823,178.801,21.05,.09, , , ,0
01-000075, ,69.881,-74.975,21.02,1.12,DLERS,HuSL/HuBL, ,2
01-000076, ,76.976,-164.378,20.95,1.03,Rd, , ,0
01-000077, ,85.008,-122.064,20.81,1.01, , , ,0
01-000078, ,69.381,41.513,20.78,.75,SLERS,HuSL, ,1
01-000079, ,73.413,178.236,20.68,1.21,SLERS,HuSL, ,1
01-000080, ,71.529,29.984,20.51,.07, , , ,0
01-000081, ,65.114,112.834,20.21,.07, , , ,0
01-000082, ,66.821,-137.562,20.2,0, , , ,0
01-000083, ,70.237,-71.106,20.19,.06, , , ,0
01-000084, ,67.1,113.564,20.06,.75,SLERS,HuSL, ,1
01-000085,Inuvik,78.595,-28.276,20.02,.78,SLERS,SmAm, ,1
01-000086, ,71.92,-15.179,19.89,1.26,Rd/MLEPS,HuSL, ,3
01-000087, ,72.458,144.203,19.85,.94,SLERC,HuSL, ,1
01-000088, ,72.078,145.922,19.74,1.05,SLERC, , ,1
01-000089, ,79.257,-148.095,19.53,.11, , , ,0
01-000090, ,71.991,67.981,19.41,.37,DLERS,HuBL, ,2
01-000091,Jojutla,81.586,-169.89,19.23,.94,Rd, , ,0
01-000092, ,77.116,-170.975,19.09,.35, , , ,0
01-000093, ,65.636,-21.242,19.07,.79,SLERC,HuSL, ,1
01-000094, ,73.623,25.142,18.75,.06,Rd, , ,0
01-000095, ,67.138,97.544,18.73,.3,DLEPC/DLERS,Hu/HuSL, ,2
01-000096, ,70.09,101.751,18.59,.1,Rd, , ,0
01-000097, ,70.836,39.826,18.28,.03, , , ,0
01-000098, ,66.808,75.519,18.14,.06, , , ,0
01-000099, ,71.205,-50.958,18.12,.37,SLEPS,HuSL, ,1
01-000100, ,65.669,-30.559,18.05,.42,SLERS,SmSL, ,1
01-000101, ,67.357,-103.855,17.8,.07, , , ,0
01-000102, ,72.057,-172.477,17.8,.1, , , ,0
01-000103, ,75.578,-167.827,17.79,.11, , , ,0
01-000104, ,65.589,121.305,17.75,.06, , , ,0
01-000105, ,66.166,81.472,17.67,.43,SLEPC,HuSL, ,1
01-000106, ,77.639,13.773,17.64,.03, , , ,0
01-000107,Boola,81.26,-105.205,17.59,.61, , , ,0
01-000108, ,69.807,64.835,17.56,.33,SLERC,SmSL, ,1
01-000109, ,73.009,27.285,17.49,.56,SLERS,HuBL, ,1
01-000110, ,73.601,2.379,17.41,.95,SLERS,HuSL, ,1
01-000111, ,68.145,-160.637,17.41,.88,SLERS,HuSL, ,1
01-000112, ,74.245,-40.807,17.4,.44,SLERS,HuBL, ,1
01-000113, ,73.83,-110.625,17.1,0, , , ,0
01-000114, ,69.754,111.693,16.98,.07, , , ,0
01-000115, ,67.14,-157.87,16.94,.71,MLERS,HuSL, ,3
01-000116, ,78.519,79.551,16.92,.07, , , ,0
01-000117, ,79.251,-9.101,16.89,.42, , , ,0
01-000118, ,77.492,-137.722,16.6,.26, , , ,0
01-000119, ,76.988,-142.899,16.5,.52, , , ,0
01-000120, ,77.081,-20.924,16.44,.05, , , ,0
01-000121, ,75.053,-19.762,16.21,.4,DLERC,HuSL, ,2
01-000122, ,73.641,-34.966,16.13,.03, , , ,0
01-000123, ,67.896,-45.781,15.99,.04, , , ,0
01-000124, ,70.278,-28.342,15.86,.34,DLERS,HuSL, ,2
01-000125, ,78.117,-119.832,15.81,.62,SLEPS,HuSL, ,1
01-000126, ,73.544,-11.71,15.78,.52,SLEPS,SmSL, ,1
01-000127, ,67.105,56.593,15.77,.03,Rd, , ,0
